unique_name,sample,date,plantsp,bee,species,choice,plant,treatment,trytolegit,robbed,timetorob,timefeeding,flower#,notes,,
Aug-10_mertensia_6_flavifrons,MERFLAV006,Aug-10,mertensia,6,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-10_mertensia_7_flavifrons,MERFLAV007,Aug-10,mertensia,7,flavifrons,yes,5,mreu,yes,yes,4.31,1.75,3,,,
Aug-10_mertensia_7_flavifrons,MERFLAV007,Aug-10,mertensia,7,flavifrons,yes,5,mreu,no,yes,9.41,26.22,4,,,
Aug-10_mertensia_7_flavifrons,MERFLAV007,Aug-10,mertensia,7,flavifrons,yes,5,mreu,no,yes,1.18,2.97,5,,,
Aug-10_mertensia_7_flavifrons,MERFLAV007,Aug-10,mertensia,7,flavifrons,yes,5,mreu,no,yes,3.34,5.66,6,,,
Aug-10_mertensia_7_flavifrons,MERFLAV007,Aug-10,mertensia,7,flavifrons,yes,4,control,yes,yes,5.73,10.42,1,,,
Aug-10_mertensia_7_flavifrons,MERFLAV007,Aug-10,mertensia,7,flavifrons,yes,1,mreu,yes,yes,3.91,3.56,1,,,
Aug-10_mertensia_7_flavifrons,MERFLAV007,Aug-10,mertensia,7,flavifrons,yes,1,mreu,no,yes,8.49,1.22,2,,,
Aug-10_mertensia_7_flavifrons,MERFLAV007,Aug-10,mertensia,7,flavifrons,yes,1,mreu,no,yes,0.99,12.61,3,,,
Aug-10_mertensia_7_flavifrons,MERFLAV007,Aug-10,mertensia,7,flavifrons,yes,1,mreu,no,yes,2.19,3.27,4,,,
Aug-10_mertensia_7_flavifrons,MERFLAV007,Aug-10,mertensia,7,flavifrons,yes,1,mreu,yes,yes,0.98,7.84,5,,,
